"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.29 HS50, MS3, IMU Together.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 08:43:29.2",120,0,0,0,0,0,0
"2023-05-27 08:43:29.25",121,0,0,0,0,0,0
"2023-05-27 08:43:29.3",122,0,0,0,0,0,0
"2023-05-27 08:43:29.35",123,0,0,0,0,0,0
"2023-05-27 08:43:29.4",124,0,0,0,0,0,0
"2023-05-27 08:43:29.45",125,0,0,0,0,0,0
"2023-05-27 08:43:29.5",126,0,0,0,0,0,0
"2023-05-27 08:43:29.55",127,0,0,0,0,0,0
"2023-05-27 08:43:29.6",128,0,0,0,0,0,0
"2023-05-27 08:43:29.65",129,0,0,0,0,0,0
"2023-05-27 08:43:29.7",130,0,0,0,0,0,0
"2023-05-27 08:43:29.75",131,0,0,0,0,0,0
"2023-05-27 08:43:29.8",132,0,0,0,0,0,0
"2023-05-27 08:43:29.85",133,0,0,0,0,0,0
"2023-05-27 08:43:29.9",134,0,0,0,0,0,0
"2023-05-27 08:43:29.95",135,0,0,0,0,0,0
"2023-05-27 08:43:30",136,0,0,0,0,0,0
"2023-05-27 08:43:30.05",137,0,0,0,0,0,0
"2023-05-27 08:43:30.1",138,0,0,0,0,0,0
"2023-05-27 08:43:30.15",139,0,0,0,0,0,0
"2023-05-27 08:43:30.2",140,0,0,0,0,0,0
"2023-05-27 08:43:30.25",141,0,0,0,0,0,0
"2023-05-27 08:43:30.3",142,0,0,0,0,0,0
"2023-05-27 08:43:30.35",143,0,0,0,0,0,0
"2023-05-27 08:43:30.4",144,0,0,0,0,0,0
"2023-05-27 08:43:30.45",145,0,0,0,0,0,0
"2023-05-27 08:43:30.5",146,0,0,0,0,0,0
"2023-05-27 08:43:30.55",147,0,0,0,0,0,0
"2023-05-27 08:43:30.6",148,0,0,0,0,0,0
"2023-05-27 08:43:30.65",149,0,0,0,0,0,0
"2023-05-27 08:43:30.7",150,0,0,0,0,0,0
"2023-05-27 08:43:30.75",151,0,0,0,0,0,0
"2023-05-27 08:43:30.8",152,0,0,0,0,0,0
"2023-05-27 08:43:30.85",153,0,0,0,0,0,0
"2023-05-27 08:43:30.9",154,0,0,0,0,0,0
"2023-05-27 08:43:30.95",155,0,0,0,0,0,0
"2023-05-27 08:43:31",156,0,0,0,0,0,0
"2023-05-27 08:43:31.05",157,0,0,0,0,0,0
"2023-05-27 08:43:31.1",158,0,0,0,0,0,0
"2023-05-27 08:43:31.15",159,0,0,0,0,0,0
"2023-05-27 08:43:31.2",160,0,0,0,0,0,0
"2023-05-27 08:43:31.25",161,0,0,0,0,0,0
"2023-05-27 08:43:31.3",162,0,0,0,0,0,0
"2023-05-27 08:43:31.35",163,0,0,0,0,0,0
"2023-05-27 08:43:31.4",164,0,0,0,0,0,0
"2023-05-27 08:43:31.45",165,0,0,0,0,0,0
"2023-05-27 08:43:31.5",166,0,0,0,0,0,0
"2023-05-27 08:43:31.55",167,0,0,0,0,0,0
"2023-05-27 08:43:31.6",168,0,0,0,0,0,0
"2023-05-27 08:43:31.65",169,0,0,0,0,0,0
"2023-05-27 08:43:31.7",170,0,0,0,0,0,0
"2023-05-27 08:43:31.75",171,0,0,0,0,0,0
"2023-05-27 08:43:31.8",172,0,0,0,0,0,0
"2023-05-27 08:43:31.85",173,0,0,0,0,0,0
"2023-05-27 08:43:31.9",174,0,0,0,0,0,0
"2023-05-27 08:43:31.95",175,0,0,0,0,0,0
"2023-05-27 08:43:32",176,0,0,0,0,0,0
"2023-05-27 08:43:32.05",177,0,0,0,0,0,0
"2023-05-27 08:43:32.1",178,0,0,0,0,0,0
"2023-05-27 08:43:32.15",179,0,0,0,0,0,0
"2023-05-27 08:43:32.2",180,0,0,0,0,0,0
"2023-05-27 08:43:32.25",181,0,0,0,0,0,0
"2023-05-27 08:43:32.3",182,0,0,0,0,0,0
"2023-05-27 08:43:32.35",183,0,0,0,0,0,0
"2023-05-27 08:43:32.4",184,0,0,0,0,0,0
"2023-05-27 08:43:32.45",185,0,0,0,0,0,0
"2023-05-27 08:43:32.5",186,0,0,0,0,0,0
"2023-05-27 08:43:32.55",187,0,0,0,0,0,0
"2023-05-27 08:43:32.6",188,0,0,0,0,0,0
"2023-05-27 08:43:32.65",189,0,0,0,0,0,0
"2023-05-27 08:43:32.7",190,0,0,0,0,0,0
"2023-05-27 08:43:32.75",191,0,0,0,0,0,0
"2023-05-27 08:43:32.8",192,0,0,0,0,0,0
"2023-05-27 08:43:32.85",193,0,0,0,0,0,0
"2023-05-27 08:43:32.9",194,0,0,0,0,0,0
"2023-05-27 08:43:32.95",195,0,0,0,0,0,0
"2023-05-27 08:43:33",196,0,0,0,0,0,0
"2023-05-27 08:43:33.05",197,0,0,0,0,0,0
"2023-05-27 08:43:33.1",198,0,0,0,0,0,0
"2023-05-27 08:43:33.15",199,0,0,0,0,0,0
"2023-05-27 08:43:33.2",200,0,0,0,0,0,0
"2023-05-27 08:43:33.25",201,0,0,0,0,0,0
"2023-05-27 08:43:33.3",202,0,0,0,0,0,0
"2023-05-27 08:43:33.35",203,0,0,0,0,0,0
"2023-05-27 08:43:33.4",204,0,0,0,0,0,0
"2023-05-27 08:43:33.45",205,0,0,0,0,0,0
"2023-05-27 08:43:33.5",206,0,0,0,0,0,0
"2023-05-27 08:43:33.55",207,0,0,0,0,0,0
"2023-05-27 08:43:33.6",208,0,0,0,0,0,0
"2023-05-27 08:43:33.65",209,0,0,0,0,0,0
"2023-05-27 08:43:33.7",210,0,0,0,0,0,0
"2023-05-27 08:43:33.75",211,0,0,0,0,0,0
"2023-05-27 08:43:33.8",212,0,0,0,0,0,0
"2023-05-27 08:43:33.85",213,0,0,0,0,0,0
"2023-05-27 08:43:33.9",214,0,0,0,0,0,0
"2023-05-27 08:43:33.95",215,0,0,0,0,0,0
"2023-05-27 08:43:34",216,0,0,0,0,0,0
"2023-05-27 08:43:34.05",217,0,0,0,0,0,0
"2023-05-27 08:43:34.1",218,0,0,0,0,0,0
"2023-05-27 08:43:34.15",219,0,0,0,0,0,0
"2023-05-27 08:43:34.2",220,0,0,0,0,0,0
"2023-05-27 08:43:34.25",221,0,0,0,0,0,0
"2023-05-27 08:43:34.3",222,0,0,0,0,0,0
"2023-05-27 08:43:34.35",223,0,0,0,0,0,0
"2023-05-27 08:43:34.4",224,0,0,0,0,0,0
"2023-05-27 08:43:34.45",225,0,0,0,0,0,0
"2023-05-27 08:43:34.5",226,0,0,0,0,0,0
"2023-05-27 08:43:34.55",227,0,0,0,0,0,0
"2023-05-27 08:43:34.6",228,0,0,0,0,0,0
"2023-05-27 08:43:34.65",229,0,0,0,0,0,0
"2023-05-27 08:43:34.7",230,0,0,0,0,0,0
"2023-05-27 08:43:34.75",231,0,0,0,0,0,0
"2023-05-27 08:43:34.8",232,0,0,0,0,0,0
"2023-05-27 08:43:34.85",233,0,0,0,0,0,0
"2023-05-27 08:43:34.9",234,0,0,0,0,0,0
"2023-05-27 08:43:34.95",235,0,0,0,0,0,0
"2023-05-27 08:43:35",236,0,0,0,0,0,0
"2023-05-27 08:43:35.05",237,0,0,0,0,0,0
"2023-05-27 08:43:35.1",238,0,0,0,0,0,0
"2023-05-27 08:43:35.15",239,0,0,0,0,0,0
"2023-05-27 08:43:35.2",240,0,0,0,0,0,0
"2023-05-27 08:43:35.25",241,0,0,0,0,0,0
"2023-05-27 08:43:35.3",242,0,0,0,0,0,0
"2023-05-27 08:43:35.35",243,0,0,0,0,0,0
"2023-05-27 08:43:35.4",244,0,0,0,0,0,0
"2023-05-27 08:43:35.45",245,0,0,0,0,0,0
"2023-05-27 08:43:35.5",246,0,0,0,0,0,0
"2023-05-27 08:43:35.55",247,0,0,0,0,0,0
"2023-05-27 08:43:35.6",248,0,0,0,0,0,0
"2023-05-27 08:43:35.65",249,0,0,0,0,0,0
"2023-05-27 08:43:35.7",250,0,0,0,0,0,0
"2023-05-27 08:43:35.75",251,0,0,0,0,0,0
"2023-05-27 08:43:35.8",252,0,0,0,0,0,0
"2023-05-27 08:43:35.85",253,0,0,0,0,0,0
"2023-05-27 08:43:35.9",254,0,0,0,0,0,0
"2023-05-27 08:43:35.95",255,0,0,0,0,0,0
"2023-05-27 08:43:36",256,0,0,0,0,0,0
"2023-05-27 08:43:36.05",257,0,0,0,0,0,0
"2023-05-27 08:43:36.1",258,0,0,0,0,0,0
"2023-05-27 08:43:36.15",259,0,0,0,0,0,0
"2023-05-27 08:43:36.2",260,0,0,0,0,0,0
"2023-05-27 08:43:36.25",261,0,0,0,0,0,0
"2023-05-27 08:43:36.3",262,0,0,0,0,0,0
"2023-05-27 08:43:36.35",263,0,0,0,0,0,0
"2023-05-27 08:43:36.4",264,0,0,0,0,0,0
"2023-05-27 08:43:36.45",265,0,0,0,0,0,0
"2023-05-27 08:43:36.5",266,0,0,0,0,0,0
"2023-05-27 08:43:36.55",267,0,0,0,0,0,0
"2023-05-27 08:43:36.6",268,0,0,0,0,0,0
"2023-05-27 08:43:36.65",269,0,0,0,0,0,0
"2023-05-27 08:43:36.7",270,0,0,0,0,0,0
"2023-05-27 08:43:36.75",271,0,0,0,0,0,0
"2023-05-27 08:43:36.8",272,0,0,0,0,0,0
"2023-05-27 08:43:36.85",273,0,0,0,0,0,0
"2023-05-27 08:43:36.9",274,0,0,0,0,0,0
"2023-05-27 08:43:36.95",275,0,0,0,0,0,0
"2023-05-27 08:43:37",276,0,0,0,0,0,0
"2023-05-27 08:43:37.05",277,0,0,0,0,0,0
"2023-05-27 08:43:37.1",278,0,0,0,0,0,0
"2023-05-27 08:43:37.15",279,0,0,0,0,0,0
"2023-05-27 08:43:37.2",280,0,0,0,0,0,0
"2023-05-27 08:43:37.25",281,0,0,0,0,0,0
"2023-05-27 08:43:37.3",282,0,0,0,0,0,0
"2023-05-27 08:43:37.35",283,0,0,0,0,0,0
"2023-05-27 08:43:37.4",284,0,0,0,0,0,0
"2023-05-27 08:43:37.45",285,0,0,0,0,0,0
"2023-05-27 08:43:37.5",286,0,0,0,0,0,0
