"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.15 CR1000X R350 and IMU through SDM-SIO1A.CR1X","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-26 14:41:08.35",133,0,0,0,0,0,0
"2023-05-26 14:41:08.4",134,0,0,0,0,0,0
"2023-05-26 14:41:08.45",135,0,0,0,0,0,0
"2023-05-26 14:41:08.5",136,0,0,0,0,0,0
"2023-05-26 14:41:08.55",137,0,0,0,0,0,0
"2023-05-26 14:41:08.6",138,0,0,0,0,0,0
"2023-05-26 14:41:08.65",139,0,0,0,0,0,0
"2023-05-26 14:41:08.7",140,0,0,0,0,0,0
"2023-05-26 14:41:08.75",141,0,0,0,0,0,0
"2023-05-26 14:41:08.8",142,0,0,0,0,0,0
"2023-05-26 14:41:08.85",143,0,0,0,0,0,0
"2023-05-26 14:41:08.9",144,0,0,0,0,0,0
"2023-05-26 14:41:08.95",145,0,0,0,0,0,0
"2023-05-26 14:41:09",146,0,0,0,0,0,0
"2023-05-26 14:41:09.05",147,0,0,0,0,0,0
"2023-05-26 14:41:09.1",148,0,0,0,0,0,0
"2023-05-26 14:41:09.15",149,0,0,0,0,0,0
"2023-05-26 14:41:09.2",150,0,0,0,0,0,0
"2023-05-26 14:41:09.25",151,0,0,0,0,0,0
"2023-05-26 14:41:09.3",152,0,0,0,0,0,0
"2023-05-26 14:41:09.35",153,0,0,0,0,0,0
"2023-05-26 14:41:09.4",154,0,0,0,0,0,0
"2023-05-26 14:41:09.45",155,0,0,0,0,0,0
"2023-05-26 14:41:09.5",156,0,0,0,0,0,0
"2023-05-26 14:41:09.55",157,0,0,0,0,0,0
"2023-05-26 14:41:09.6",158,0,0,0,0,0,0
"2023-05-26 14:41:09.65",159,0,0,0,0,0,0
"2023-05-26 14:41:09.7",160,0,0,0,0,0,0
"2023-05-26 14:41:09.75",161,0,0,0,0,0,0
"2023-05-26 14:41:09.8",162,0,0,0,0,0,0
"2023-05-26 14:41:09.85",163,0,0,0,0,0,0
"2023-05-26 14:41:09.9",164,0,0,0,0,0,0
"2023-05-26 14:41:09.95",165,0,0,0,0,0,0
"2023-05-26 14:41:10",166,0,0,0,0,0,0
"2023-05-26 14:41:10.05",167,0,0,0,0,0,0
"2023-05-26 14:41:10.1",168,0,0,0,0,0,0
"2023-05-26 14:41:10.15",169,0,0,0,0,0,0
"2023-05-26 14:41:10.2",170,0,0,0,0,0,0
"2023-05-26 14:41:10.25",171,0,0,0,0,0,0
"2023-05-26 14:41:10.3",172,0,0,0,0,0,0
"2023-05-26 14:41:10.35",173,0,0,0,0,0,0
"2023-05-26 14:41:10.4",174,0,0,0,0,0,0
"2023-05-26 14:41:10.45",175,0,0,0,0,0,0
"2023-05-26 14:41:10.5",176,0,0,0,0,0,0
"2023-05-26 14:41:10.55",177,0,0,0,0,0,0
"2023-05-26 14:41:10.6",178,0,0,0,0,0,0
"2023-05-26 14:41:10.65",179,0,0,0,0,0,0
"2023-05-26 14:41:10.7",180,0,0,0,0,0,0
"2023-05-26 14:41:10.75",181,0,0,0,0,0,0
"2023-05-26 14:41:10.8",182,0,0,0,0,0,0
"2023-05-26 14:41:10.85",183,0,0,0,0,0,0
"2023-05-26 14:41:10.9",184,0,0,0,0,0,0
"2023-05-26 14:41:10.95",185,0,0,0,0,0,0
"2023-05-26 14:41:11",186,0,0,0,0,0,0
"2023-05-26 14:41:11.05",187,0,0,0,0,0,0
"2023-05-26 14:41:11.1",188,0,0,0,0,0,0
"2023-05-26 14:41:11.15",189,0,0,0,0,0,0
"2023-05-26 14:41:11.2",190,0,0,0,0,0,0
"2023-05-26 14:41:11.25",191,0,0,0,0,0,0
"2023-05-26 14:41:11.3",192,0,0,0,0,0,0
"2023-05-26 14:41:11.35",193,0,0,0,0,0,0
"2023-05-26 14:41:11.4",194,0,0,0,0,0,0
"2023-05-26 14:41:11.45",195,0,0,0,0,0,0
"2023-05-26 14:41:11.5",196,0,0,0,0,0,0
"2023-05-26 14:41:11.55",197,0,0,0,0,0,0
"2023-05-26 14:41:11.6",198,0,0,0,0,0,0
"2023-05-26 14:41:11.65",199,0,0,0,0,0,0
"2023-05-26 14:41:11.7",200,0,0,0,0,0,0
"2023-05-26 14:41:11.75",201,0,0,0,0,0,0
"2023-05-26 14:41:11.8",202,0,0,0,0,0,0
"2023-05-26 14:41:11.85",203,0,0,0,0,0,0
"2023-05-26 14:41:11.9",204,0,0,0,0,0,0
"2023-05-26 14:41:11.95",205,0,0,0,0,0,0
"2023-05-26 14:41:12",206,0,0,0,0,0,0
"2023-05-26 14:41:12.05",207,0,0,0,0,0,0
"2023-05-26 14:41:12.1",208,0,0,0,0,0,0
"2023-05-26 14:41:12.15",209,0,0,0,0,0,0
"2023-05-26 14:41:12.2",210,0,0,0,0,0,0
"2023-05-26 14:41:12.25",211,0,0,0,0,0,0
"2023-05-26 14:41:12.3",212,0,0,0,0,0,0
"2023-05-26 14:41:12.35",213,0,0,0,0,0,0
"2023-05-26 14:41:12.4",214,0,0,0,0,0,0
"2023-05-26 14:41:12.45",215,0,0,0,0,0,0
"2023-05-26 14:41:12.5",216,0,0,0,0,0,0
"2023-05-26 14:41:12.55",217,0,0,0,0,0,0
"2023-05-26 14:41:12.6",218,0,0,0,0,0,0
"2023-05-26 14:41:12.65",219,0,0,0,0,0,0
"2023-05-26 14:41:12.7",220,0,0,0,0,0,0
"2023-05-26 14:41:12.75",221,0,0,0,0,0,0
"2023-05-26 14:41:12.8",222,0,0,0,0,0,0
"2023-05-26 14:41:12.85",223,0,0,0,0,0,0
