"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.11.9 FINAL v3.cr1x","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-27 08:58:34.1",282,0,0,0,0,0,0
"2023-05-27 08:58:34.15",283,0,0,0,0,0,0
"2023-05-27 08:58:34.2",284,0,0,0,0,0,0
"2023-05-27 08:58:34.25",285,0,0,0,0,0,0
"2023-05-27 08:58:34.3",286,0,0,0,0,0,0
"2023-05-27 08:58:34.35",287,0,0,0,0,0,0
"2023-05-27 08:58:34.4",288,0,0,0,0,0,0
"2023-05-27 08:58:34.45",289,0,0,0,0,0,0
"2023-05-27 08:58:34.5",290,0,0,0,0,0,0
"2023-05-27 08:58:34.55",291,0,0,0,0,0,0
"2023-05-27 08:58:34.6",292,0,0,0,0,0,0
"2023-05-27 08:58:34.65",293,0,0,0,0,0,0
"2023-05-27 08:58:34.7",294,0,0,0,0,0,0
"2023-05-27 08:58:34.75",295,0,0,0,0,0,0
"2023-05-27 08:58:34.8",296,0,0,0,0,0,0
"2023-05-27 08:58:34.85",297,0,0,0,0,0,0
"2023-05-27 08:58:34.9",298,0,0,0,0,0,0
"2023-05-27 08:58:34.95",299,0,0,0,0,0,0
"2023-05-27 08:58:35",300,0,0,0,0,0,0
"2023-05-27 08:58:35.05",301,0,0,0,0,0,0
"2023-05-27 08:58:35.1",302,0,0,0,0,0,0
"2023-05-27 08:58:35.15",303,0,0,0,0,0,0
"2023-05-27 08:58:35.2",304,0,0,0,0,0,0
"2023-05-27 08:58:35.25",305,0,0,0,0,0,0
"2023-05-27 08:58:35.3",306,0,0,0,0,0,0
"2023-05-27 08:58:35.35",307,0,0,0,0,0,0
"2023-05-27 08:58:35.4",308,0,0,0,0,0,0
"2023-05-27 08:58:35.45",309,0,0,0,0,0,0
"2023-05-27 08:58:35.5",310,0,0,0,0,0,0
"2023-05-27 08:58:35.55",311,0,0,0,0,0,0
"2023-05-27 08:58:35.6",312,0,0,0,0,0,0
"2023-05-27 08:58:35.65",313,0,0,0,0,0,0
"2023-05-27 08:58:35.7",314,0,0,0,0,0,0
"2023-05-27 08:58:35.75",315,0,0,0,0,0,0
"2023-05-27 08:58:35.8",316,0,0,0,0,0,0
"2023-05-27 08:58:35.85",317,0,0,0,0,0,0
"2023-05-27 08:58:35.9",318,0,0,0,0,0,0
"2023-05-27 08:58:35.95",319,0,0,0,0,0,0
"2023-05-27 08:58:36",320,0,0,0,0,0,0
"2023-05-27 08:58:36.05",321,0,0,0,0,0,0
"2023-05-27 08:58:36.1",322,0,0,0,0,0,0
"2023-05-27 08:58:36.15",323,0,0,0,0,0,0
"2023-05-27 08:58:36.2",324,0,0,0,0,0,0
"2023-05-27 08:58:36.25",325,0,0,0,0,0,0
"2023-05-27 08:58:36.3",326,0,0,0,0,0,0
"2023-05-27 08:58:36.35",327,0,0,0,0,0,0
"2023-05-27 08:58:36.4",328,0,0,0,0,0,0
"2023-05-27 08:58:36.45",329,0,0,0,0,0,0
"2023-05-27 08:58:36.5",330,0,0,0,0,0,0
"2023-05-27 08:58:36.55",331,0,0,0,0,0,0
"2023-05-27 08:58:36.6",332,0,0,0,0,0,0
"2023-05-27 08:58:36.65",333,0,0,0,0,0,0
"2023-05-27 08:58:36.7",334,0,0,0,0,0,0
"2023-05-27 08:58:36.75",335,0,0,0,0,0,0
"2023-05-27 08:58:36.8",336,0,0,0,0,0,0
"2023-05-27 08:58:36.85",337,0,0,0,0,0,0
"2023-05-27 08:58:36.9",338,0,0,0,0,0,0
"2023-05-27 08:58:36.95",339,0,0,0,0,0,0
"2023-05-27 08:58:37",340,0,0,0,0,0,0
"2023-05-27 08:58:37.05",341,0,0,0,0,0,0
"2023-05-27 08:58:37.1",342,0,0,0,0,0,0
"2023-05-27 08:58:37.15",343,0,0,0,0,0,0
"2023-05-27 08:58:37.2",344,0,0,0,0,0,0
"2023-05-27 08:58:37.25",345,0,0,0,0,0,0
"2023-05-27 08:58:37.3",346,0,0,0,0,0,0
"2023-05-27 08:58:37.35",347,0,0,0,0,0,0
"2023-05-27 08:58:37.4",348,0,0,0,0,0,0
"2023-05-27 08:58:37.45",349,0,0,0,0,0,0
"2023-05-27 08:58:37.5",350,0,0,0,0,0,0
"2023-05-27 08:58:37.55",351,0,0,0,0,0,0
"2023-05-27 08:58:37.6",352,0,0,0,0,0,0
"2023-05-27 08:58:37.65",353,0,0,0,0,0,0
"2023-05-27 08:58:37.7",354,0,0,0,0,0,0
"2023-05-27 08:58:37.75",355,0,0,0,0,0,0
"2023-05-27 08:58:37.8",356,0,0,0,0,0,0
"2023-05-27 08:58:37.85",357,0,0,0,0,0,0
"2023-05-27 08:58:37.9",358,0,0,0,0,0,0
"2023-05-27 08:58:37.95",359,0,0,0,0,0,0
"2023-05-27 08:58:38",360,0,0,0,0,0,0
"2023-05-27 08:58:38.05",361,0,0,0,0,0,0
"2023-05-27 08:58:38.1",362,0,0,0,0,0,0
"2023-05-27 08:58:38.15",363,0,0,0,0,0,0
"2023-05-27 08:58:38.2",364,0,0,0,0,0,0
"2023-05-27 08:58:38.25",365,0,0,0,0,0,0
"2023-05-27 08:58:38.3",366,0,0,0,0,0,0
"2023-05-27 08:58:38.35",367,0,0,0,0,0,0
"2023-05-27 08:58:38.4",368,0,0,0,0,0,0
"2023-05-27 08:58:38.45",369,0,0,0,0,0,0
"2023-05-27 08:58:38.5",370,0,0,0,0,0,0
"2023-05-27 08:58:38.55",371,0,0,0,0,0,0
"2023-05-27 08:58:38.6",372,0,0,0,0,0,0
"2023-05-27 08:58:38.65",373,0,0,0,0,0,0
"2023-05-27 08:58:38.7",374,0,0,0,0,0,0
"2023-05-27 08:58:38.75",375,0,0,0,0,0,0
"2023-05-27 08:58:38.8",376,0,0,0,0,0,0
"2023-05-27 08:58:38.85",377,0,0,0,0,0,0
"2023-05-27 08:58:38.9",378,0,0,0,0,0,0
"2023-05-27 08:58:38.95",379,0,0,0,0,0,0
"2023-05-27 08:58:39",380,0,0,0,0,0,0
"2023-05-27 08:58:39.05",381,0,0,0,0,0,0
"2023-05-27 08:58:39.1",382,0,0,0,0,0,0
"2023-05-27 08:58:39.15",383,0,0,0,0,0,0
"2023-05-27 08:58:39.2",384,0,0,0,0,0,0
"2023-05-27 08:58:39.25",385,0,0,0,0,0,0
"2023-05-27 08:58:39.3",386,0,0,0,0,0,0
"2023-05-27 08:58:39.35",387,0,0,0,0,0,0
"2023-05-27 08:58:39.4",388,0,0,0,0,0,0
"2023-05-27 08:58:39.45",389,0,0,0,0,0,0
"2023-05-27 08:58:39.5",390,0,0,0,0,0,0
"2023-05-27 08:58:39.55",391,0,0,0,0,0,0
"2023-05-27 08:58:39.6",392,0,0,0,0,0,0
"2023-05-27 08:58:39.65",393,0,0,0,0,0,0
"2023-05-27 08:58:39.7",394,0,0,0,0,0,0
"2023-05-27 08:58:39.75",395,0,0,0,0,0,0
"2023-05-27 08:58:39.8",396,0,0,0,0,0,0
"2023-05-27 08:58:39.85",397,0,0,0,0,0,0
"2023-05-27 08:58:39.9",398,0,0,0,0,0,0
"2023-05-27 08:58:39.95",399,0,0,0,0,0,0
"2023-05-27 08:58:40",400,0,0,0,0,0,0
"2023-05-27 08:58:40.05",401,0,0,0,0,0,0
"2023-05-27 08:58:40.1",402,0,0,0,0,0,0
"2023-05-27 08:58:40.15",403,0,0,0,0,0,0
"2023-05-27 08:58:40.2",404,0,0,0,0,0,0
"2023-05-27 08:58:40.25",405,0,0,0,0,0,0
"2023-05-27 08:58:40.3",406,0,0,0,0,0,0
"2023-05-27 08:58:40.35",407,0,0,0,0,0,0
"2023-05-27 08:58:40.4",408,0,0,0,0,0,0
"2023-05-27 08:58:40.45",409,0,0,0,0,0,0
"2023-05-27 08:58:40.5",410,0,0,0,0,0,0
"2023-05-27 08:58:40.55",411,0,0,0,0,0,0
"2023-05-27 08:58:40.6",412,0,0,0,0,0,0
"2023-05-27 08:58:40.65",413,0,0,0,0,0,0
"2023-05-27 08:58:40.7",414,0,0,0,0,0,0
"2023-05-27 08:58:40.75",415,0,0,0,0,0,0
"2023-05-27 08:58:40.8",416,0,0,0,0,0,0
"2023-05-27 08:58:40.85",417,0,0,0,0,0,0
"2023-05-27 08:58:40.9",418,0,0,0,0,0,0
"2023-05-27 08:58:40.95",419,0,0,0,0,0,0
"2023-05-27 08:58:41",420,0,0,0,0,0,0
"2023-05-27 08:58:41.05",421,0,0,0,0,0,0
"2023-05-27 08:58:41.1",422,0,0,0,0,0,0
"2023-05-27 08:58:41.15",423,0,0,0,0,0,0
"2023-05-27 08:58:41.2",424,0,0,0,0,0,0
"2023-05-27 08:58:41.25",425,0,0,0,0,0,0
"2023-05-27 08:58:41.3",426,0,0,0,0,0,0
"2023-05-27 08:58:41.35",427,0,0,0,0,0,0
"2023-05-27 08:58:41.4",428,0,0,0,0,0,0
