"TOA5","11167","CR1000X","11167","CR1000X.Std.03.02","$*$#$#$*$$.$#$","7948","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-26 14:18:35.7",144,0,0,0,0,0,0
"2023-05-26 14:18:35.75",145,0,0,0,0,0,0
"2023-05-26 14:18:35.8",146,0,0,0,0,0,0
"2023-05-26 14:18:35.85",147,0,0,0,0,0,0
"2023-05-26 14:18:35.9",148,0,0,0,0,0,0
"2023-05-26 14:18:35.95",149,0,0,0,0,0,0
"2023-05-26 14:18:36",150,0,0,0,0,0,0
"2023-05-26 14:18:36.05",151,0,0,0,0,0,0
"2023-05-26 14:18:36.1",152,0,0,0,0,0,0
"2023-05-26 14:18:36.15",153,0,0,0,0,0,0
"2023-05-26 14:18:36.2",154,0,0,0,0,0,0
"2023-05-26 14:18:36.25",155,0,0,0,0,0,0
"2023-05-26 14:18:36.3",156,0,0,0,0,0,0
"2023-05-26 14:18:36.35",157,0,0,0,0,0,0
"2023-05-26 14:18:36.4",158,0,0,0,0,0,0
"2023-05-26 14:18:36.45",159,0,0,0,0,0,0
"2023-05-26 14:18:36.5",160,0,0,0,0,0,0
"2023-05-26 14:18:36.55",161,0,0,0,0,0,0
"2023-05-26 14:18:36.6",162,0,0,0,0,0,0
"2023-05-26 14:18:36.65",163,0,0,0,0,0,0
"2023-05-26 14:18:36.7",164,0,0,0,0,0,0
"2023-05-26 14:18:36.75",165,0,0,0,0,0,0
"2023-05-26 14:18:36.8",166,0,0,0,0,0,0
"2023-05-26 14:18:36.85",167,0,0,0,0,0,0
"2023-05-26 14:18:36.9",168,0,0,0,0,0,0
"2023-05-26 14:18:36.95",169,0,0,0,0,0,0
"2023-05-26 14:18:37",170,0,0,0,0,0,0
"2023-05-26 14:18:37.05",171,0,0,0,0,0,0
"2023-05-26 14:18:37.1",172,0,0,0,0,0,0
"2023-05-26 14:18:37.15",173,0,0,0,0,0,0
"2023-05-26 14:18:37.2",174,0,0,0,0,0,0
"2023-05-26 14:18:37.25",175,0,0,0,0,0,0
"2023-05-26 14:18:37.3",176,0,0,0,0,0,0
