"TOA5","11167","CR1000X","11167","CR1000X.Std.06.02","CPU:2021.4.8 CR1000X R350 through SDM-SIO1A.CR1X","55658","WSTable"
"TIMESTAMP","RECORD","fWSV1","fWSV2","fWSV3","fWSC","iWSDiag","iWSValue"
"TS","RN","m/s","m/s","m/s","DegC","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp"
"2023-05-26 15:02:33.9",81,0,0,0,0,0,0
"2023-05-26 15:02:33.95",82,0,0,0,0,0,0
"2023-05-26 15:02:34",83,0,0,0,0,0,0
"2023-05-26 15:02:34.05",84,0,0,0,0,0,0
"2023-05-26 15:02:34.1",85,0,0,0,0,0,0
"2023-05-26 15:02:34.15",86,0,0,0,0,0,0
"2023-05-26 15:02:34.2",87,0,0,0,0,0,0
"2023-05-26 15:02:34.25",88,0,0,0,0,0,0
"2023-05-26 15:02:34.3",89,0,0,0,0,0,0
"2023-05-26 15:02:34.35",90,0,0,0,0,0,0
"2023-05-26 15:02:34.4",91,0,0,0,0,0,0
"2023-05-26 15:02:34.45",92,0,0,0,0,0,0
"2023-05-26 15:02:34.5",93,0,0,0,0,0,0
"2023-05-26 15:02:34.55",94,0,0,0,0,0,0
"2023-05-26 15:02:34.6",95,0,0,0,0,0,0
"2023-05-26 15:02:34.65",96,0,0,0,0,0,0
"2023-05-26 15:02:34.7",97,0,0,0,0,0,0
"2023-05-26 15:02:34.75",98,0,0,0,0,0,0
"2023-05-26 15:02:34.8",99,0,0,0,0,0,0
"2023-05-26 15:02:34.85",100,0,0,0,0,0,0
"2023-05-26 15:02:34.9",101,0,0,0,0,0,0
"2023-05-26 15:02:34.95",102,0,0,0,0,0,0
"2023-05-26 15:02:35",103,0,0,0,0,0,0
"2023-05-26 15:02:35.05",104,0,0,0,0,0,0
"2023-05-26 15:02:35.1",105,0,0,0,0,0,0
"2023-05-26 15:02:35.15",106,0,0,0,0,0,0
"2023-05-26 15:02:35.2",107,0,0,0,0,0,0
"2023-05-26 15:02:35.25",108,0,0,0,0,0,0
"2023-05-26 15:02:35.3",109,0,0,0,0,0,0
"2023-05-26 15:02:35.35",110,0,0,0,0,0,0
"2023-05-26 15:02:35.4",111,0,0,0,0,0,0
"2023-05-26 15:02:35.45",112,0,0,0,0,0,0
"2023-05-26 15:02:35.5",113,0,0,0,0,0,0
"2023-05-26 15:02:35.55",114,0,0,0,0,0,0
"2023-05-26 15:02:35.6",115,0,0,0,0,0,0
"2023-05-26 15:02:35.65",116,0,0,0,0,0,0
"2023-05-26 15:02:35.7",117,0,0,0,0,0,0
"2023-05-26 15:02:35.75",118,0,0,0,0,0,0
"2023-05-26 15:02:35.8",119,0,0,0,0,0,0
"2023-05-26 15:02:35.85",120,0,0,0,0,0,0
"2023-05-26 15:02:35.9",121,0,0,0,0,0,0
"2023-05-26 15:02:35.95",122,0,0,0,0,0,0
"2023-05-26 15:02:36",123,0,0,0,0,0,0
"2023-05-26 15:02:36.05",124,0,0,0,0,0,0
"2023-05-26 15:02:36.1",125,0,0,0,0,0,0
"2023-05-26 15:02:36.15",126,0,0,0,0,0,0
"2023-05-26 15:02:36.2",127,0,0,0,0,0,0
"2023-05-26 15:02:36.25",128,0,0,0,0,0,0
"2023-05-26 15:02:36.3",129,0,0,0,0,0,0
"2023-05-26 15:02:36.35",130,0,0,0,0,0,0
"2023-05-26 15:02:36.4",131,0,0,0,0,0,0
"2023-05-26 15:02:36.45",132,0,0,0,0,0,0
"2023-05-26 15:02:36.5",133,0,0,0,0,0,0
"2023-05-26 15:02:36.55",134,0,0,0,0,0,0
"2023-05-26 15:02:36.6",135,0,0,0,0,0,0
"2023-05-26 15:02:36.65",136,0,0,0,0,0,0
"2023-05-26 15:02:36.7",137,0,0,0,0,0,0
"2023-05-26 15:02:36.75",138,0,0,0,0,0,0
"2023-05-26 15:02:36.8",139,0,0,0,0,0,0
"2023-05-26 15:02:36.85",140,0,0,0,0,0,0
"2023-05-26 15:02:36.9",141,0,0,0,0,0,0
"2023-05-26 15:02:36.95",142,0,0,0,0,0,0
"2023-05-26 15:02:37",143,0,0,0,0,0,0
"2023-05-26 15:02:37.05",144,0,0,0,0,0,0
"2023-05-26 15:02:37.1",145,0,0,0,0,0,0
"2023-05-26 15:02:37.15",146,0,0,0,0,0,0
"2023-05-26 15:02:37.2",147,0,0,0,0,0,0
"2023-05-26 15:02:37.25",148,0,0,0,0,0,0
"2023-05-26 15:02:37.3",149,0,0,0,0,0,0
"2023-05-26 15:02:37.35",150,0,0,0,0,0,0
"2023-05-26 15:02:37.4",151,0,0,0,0,0,0
"2023-05-26 15:02:37.45",152,0,0,0,0,0,0
"2023-05-26 15:02:37.5",153,0,0,0,0,0,0
"2023-05-26 15:02:37.55",154,0,0,0,0,0,0
"2023-05-26 15:02:37.6",155,0,0,0,0,0,0
"2023-05-26 15:02:37.65",156,0,0,0,0,0,0
"2023-05-26 15:02:37.7",157,0,0,0,0,0,0
"2023-05-26 15:02:37.75",158,0,0,0,0,0,0
"2023-05-26 15:02:37.8",159,0,0,0,0,0,0
"2023-05-26 15:02:37.85",160,0,0,0,0,0,0
